"","genes_list","description"
"306","ADAMTS15","ADAM metallopeptidase with thrombospondin type 1 motif 15 [Source:HGNC Symbol;Acc:HGNC:16305]"
"307","ADAMTS16","ADAM metallopeptidase with thrombospondin type 1 motif 16 [Source:HGNC Symbol;Acc:HGNC:17108]"
"308","ADAMTS17","ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109]"
"309","ADAMTS18","ADAM metallopeptidase with thrombospondin type 1 motif 18 [Source:HGNC Symbol;Acc:HGNC:17110]"
"310","ADAMTS19","ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:HGNC Symbol;Acc:HGNC:17111]"
"311","ADAMTS2","ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]"
"312","ADAMTS20","ADAM metallopeptidase with thrombospondin type 1 motif 20 [Source:HGNC Symbol;Acc:HGNC:17178]"
"313","ADAMTS3","ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]"
"314","ADAMTS4","ADAM metallopeptidase with thrombospondin type 1 motif 4 [Source:HGNC Symbol;Acc:HGNC:220]"
"315","ADAMTS5","ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]"
"316","ADAMTS6","ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]"
"317","ADAMTS7","ADAM metallopeptidase with thrombospondin type 1 motif 7 [Source:HGNC Symbol;Acc:HGNC:223]"
"318","ADAMTS8","ADAM metallopeptidase with thrombospondin type 1 motif 8 [Source:HGNC Symbol;Acc:HGNC:224]"
"319","ADAMTS9","ADAM metallopeptidase with thrombospondin type 1 motif 9 [Source:HGNC Symbol;Acc:HGNC:13202]"
"320","ADAMTSL1","ADAMTS like 1 [Source:HGNC Symbol;Acc:HGNC:14632]"
"321","ADAMTSL2","ADAMTS like 2 [Source:HGNC Symbol;Acc:HGNC:14631]"
"322","ADAMTSL3","ADAMTS like 3 [Source:HGNC Symbol;Acc:HGNC:14633]"
"323","ADAMTSL4","ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706]"
"324","ADAMTSL5","ADAMTS like 5 [Source:HGNC Symbol;Acc:HGNC:27912]"
"325","ADAP1","ArfGAP with dual PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16486]"
"326","ADAP2","ArfGAP with dual PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16487]"
"327","ADAR","adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]"
"328","ADARB1","adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]"
"329","ADARB2","adenosine deaminase RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]"
"330","ADAT1","adenosine deaminase tRNA specific 1 [Source:HGNC Symbol;Acc:HGNC:228]"
"331","ADAT3","adenosine deaminase tRNA specific 3 [Source:HGNC Symbol;Acc:HGNC:25151]"
"332","ADCK1","aarF domain containing kinase 1 [Source:HGNC Symbol;Acc:HGNC:19038]"
"333","ADCK2","aarF domain containing kinase 2 [Source:HGNC Symbol;Acc:HGNC:19039]"
"334","ADCK5","aarF domain containing kinase 5 [Source:HGNC Symbol;Acc:HGNC:21738]"
"335","ADCY1","adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]"
"336","ADCY10","adenylate cyclase 10 [Source:HGNC Symbol;Acc:HGNC:21285]"
"337","ADCY2","adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]"
"338","ADCY3","adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]"
"339","ADCY4","adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]"
"340","ADCY5","adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]"
"341","ADCY6","adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]"
"342","ADCY7","adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]"
"343","ADCY8","adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]"
"344","ADCY9","adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]"
"345","ADCYAP1","adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]"
"346","ADCYAP1R1","ADCYAP receptor type I [Source:HGNC Symbol;Acc:HGNC:242]"
"347","ADD1","adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]"
"348","ADD2","adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]"
"349","ADD3","adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]"
"350","ADGB","androglobin [Source:HGNC Symbol;Acc:HGNC:21212]"
"351","ADGRA1","adhesion G protein-coupled receptor A1 [Source:HGNC Symbol;Acc:HGNC:13838]"
"352","ADGRA2","adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]"
"353","ADGRA3","adhesion G protein-coupled receptor A3 [Source:HGNC Symbol;Acc:HGNC:13839]"
"354","ADGRB1","adhesion G protein-coupled receptor B1 [Source:HGNC Symbol;Acc:HGNC:943]"
"355","ADGRB2","adhesion G protein-coupled receptor B2 [Source:HGNC Symbol;Acc:HGNC:944]"
"356","ADGRB3","adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]"
"357","ADGRD1","adhesion G protein-coupled receptor D1 [Source:HGNC Symbol;Acc:HGNC:19893]"
"358","ADGRD2","adhesion G protein-coupled receptor D2 [Source:HGNC Symbol;Acc:HGNC:18651]"
"359","ADGRE1","adhesion G protein-coupled receptor E1 [Source:HGNC Symbol;Acc:HGNC:3336]"
"360","ADGRE2","adhesion G protein-coupled receptor E2 [Source:HGNC Symbol;Acc:HGNC:3337]"
"361","ADGRE3","adhesion G protein-coupled receptor E3 [Source:HGNC Symbol;Acc:HGNC:23647]"
"362","ADGRE5","adhesion G protein-coupled receptor E5 [Source:HGNC Symbol;Acc:HGNC:1711]"
"363","ADGRF1","adhesion G protein-coupled receptor F1 [Source:HGNC Symbol;Acc:HGNC:18990]"
"364","ADGRF2",NA
"365","ADGRF3","adhesion G protein-coupled receptor F3 [Source:HGNC Symbol;Acc:HGNC:18989]"
"366","ADGRF4","adhesion G protein-coupled receptor F4 [Source:HGNC Symbol;Acc:HGNC:19011]"
"367","ADGRF5","adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]"
"368","ADGRG1","adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]"
"369","ADGRG2","adhesion G protein-coupled receptor G2 [Source:HGNC Symbol;Acc:HGNC:4516]"
"370","ADGRG3","adhesion G protein-coupled receptor G3 [Source:HGNC Symbol;Acc:HGNC:13728]"
"371","ADGRG4","adhesion G protein-coupled receptor G4 [Source:HGNC Symbol;Acc:HGNC:18992]"
"372","ADGRG5","adhesion G protein-coupled receptor G5 [Source:HGNC Symbol;Acc:HGNC:19010]"
"373","ADGRG6","adhesion G protein-coupled receptor G6 [Source:HGNC Symbol;Acc:HGNC:13841]"
"374","ADGRG7","adhesion G protein-coupled receptor G7 [Source:HGNC Symbol;Acc:HGNC:19241]"
"375","ADGRL1","adhesion G protein-coupled receptor L1 [Source:HGNC Symbol;Acc:HGNC:20973]"
"376","ADGRL2","adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]"
"377","ADGRL3","adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974]"
"378","ADGRL4","adhesion G protein-coupled receptor L4 [Source:HGNC Symbol;Acc:HGNC:20822]"
"379","ADGRV1","adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]"
"380","ADH1A","alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]"
"381","ADH1C","alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]"
"382","ADH4","alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]"
"383","ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]"
"384","ADH6","alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255]"
"385","ADH7","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]"
"386","ADHFE1","alcohol dehydrogenase iron containing 1 [Source:HGNC Symbol;Acc:HGNC:16354]"
"387","ADI1","acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]"
"388","ADIG","adipogenin [Source:HGNC Symbol;Acc:HGNC:28606]"
"389","ADIPOQ","adiponectin, C1Q and collagen domain containing [Source:HGNC Symbol;Acc:HGNC:13633]"
"390","ADIPOR1","adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]"
"391","ADIPOR2","adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]"
"392","ADIRF","adipogenesis regulatory factor [Source:HGNC Symbol;Acc:HGNC:24043]"
"393","ADK","adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]"
"394","ADM","adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]"
"395","ADM2","adrenomedullin 2 [Source:HGNC Symbol;Acc:HGNC:28898]"
"396","ADM5","adrenomedullin 5 (putative) [Source:HGNC Symbol;Acc:HGNC:27293]"
"397","ADNP","activity dependent neuroprotector homeobox [Source:HGNC Symbol;Acc:HGNC:15766]"
"398","ADNP2","ADNP homeobox 2 [Source:HGNC Symbol;Acc:HGNC:23803]"
"399","ADO","2-aminoethanethiol dioxygenase [Source:HGNC Symbol;Acc:HGNC:23506]"
"400","ADORA1","adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]"
"401","ADORA2A","adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]"
"402","ADORA2B","adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]"
"403","ADORA3","adenosine A3 receptor [Source:HGNC Symbol;Acc:HGNC:268]"
"404","ADPGK","ADP dependent glucokinase [Source:HGNC Symbol;Acc:HGNC:25250]"
"405","ADPRH","ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:HGNC:269]"
"406","ADPRHL1","ADP-ribosylhydrolase like 1 [Source:HGNC Symbol;Acc:HGNC:21303]"
"407","ADPRHL2",NA
"408","ADPRM","ADP-ribose/CDP-alcohol diphosphatase, manganese dependent [Source:HGNC Symbol;Acc:HGNC:30925]"
"409","ADRA1A","adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277]"
"410","ADRA1B","adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]"
"411","ADRA1D","adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]"
"412","ADRA2A","adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]"
"413","ADRA2B","adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]"
"414","ADRA2C","adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]"
"415","ADRB1","adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]"
"416","ADRB2","adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]"
"417","ADRB3","adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]"
"418","ADRM1","ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]"
"419","ADSL","adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]"
"420","ADSS",NA
"421","ADSSL1",NA
"422","ADTRP","androgen dependent TFPI regulating protein [Source:HGNC Symbol;Acc:HGNC:21214]"
"423","AEBP1","AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]"
"424","AEBP2","AE binding protein 2 [Source:HGNC Symbol;Acc:HGNC:24051]"
"425","AEN","apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722]"
"426","AFAP1","actin filament associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24017]"
"427","AFAP1L1","actin filament associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:26714]"
"428","AFAP1L2","actin filament associated protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25901]"
"429","AFDN","afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]"
"430","AFF1","ALF transcription elongation factor 1 [Source:HGNC Symbol;Acc:HGNC:7135]"
"431","AFF2","ALF transcription elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3776]"
"432","AFF3","ALF transcription elongation factor 3 [Source:HGNC Symbol;Acc:HGNC:6473]"
"433","AFF4","ALF transcription elongation factor 4 [Source:HGNC Symbol;Acc:HGNC:17869]"
"434","AFG1L","AFG1 like ATPase [Source:HGNC Symbol;Acc:HGNC:16411]"
"435","AFG3L2","AFG3 like matrix AAA peptidase subunit 2 [Source:HGNC Symbol;Acc:HGNC:315]"
"436","AFM","afamin [Source:HGNC Symbol;Acc:HGNC:316]"
"437","AFMID","arylformamidase [Source:HGNC Symbol;Acc:HGNC:20910]"
"438","AFP","alpha fetoprotein [Source:HGNC Symbol;Acc:HGNC:317]"
"439","AFTPH","aftiphilin [Source:HGNC Symbol;Acc:HGNC:25951]"
"440","AGA","aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]"
"441","AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]"
"442","AGAP2","ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16921]"
"443","AGAP3","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:16923]"
"444","AGAP4","ArfGAP with GTPase domain, ankyrin repeat and PH domain 4 [Source:HGNC Symbol;Acc:HGNC:23459]"
"445","AGAP9","ArfGAP with GTPase domain, ankyrin repeat and PH domain 9 [Source:HGNC Symbol;Acc:HGNC:23463]"
"446","AGBL1","AGBL carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:26504]"
"447","AGBL2","AGBL carboxypeptidase 2 [Source:HGNC Symbol;Acc:HGNC:26296]"
"448","AGBL3","AGBL carboxypeptidase 3 [Source:HGNC Symbol;Acc:HGNC:27981]"
"449","AGBL4","AGBL carboxypeptidase 4 [Source:HGNC Symbol;Acc:HGNC:25892]"
"450","AGBL5","AGBL carboxypeptidase 5 [Source:HGNC Symbol;Acc:HGNC:26147]"
"451","AGER","advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]"
"452","AGFG1","ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]"
"453","AGFG2","ArfGAP with FG repeats 2 [Source:HGNC Symbol;Acc:HGNC:5177]"
"454","AGGF1","angiogenic factor with G-patch and FHA domains 1 [Source:HGNC Symbol;Acc:HGNC:24684]"
"455","AGK","acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]"
"456","AGL","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]"
"457","AGMAT","agmatinase [Source:HGNC Symbol;Acc:HGNC:18407]"
"458","AGMO","alkylglycerol monooxygenase [Source:HGNC Symbol;Acc:HGNC:33784]"
"459","AGO1","argonaute RISC component 1 [Source:HGNC Symbol;Acc:HGNC:3262]"
"460","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]"
"461","AGO3","argonaute RISC catalytic component 3 [Source:HGNC Symbol;Acc:HGNC:18421]"
"462","AGO4","argonaute RISC component 4 [Source:HGNC Symbol;Acc:HGNC:18424]"
"463","AGPAT1","1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324]"
"464","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:325]"
"465","AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]"
"466","AGPAT4","1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]"
"467","AGPAT5","1-acylglycerol-3-phosphate O-acyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:20886]"
"468","AGPS","alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]"
"469","AGR2","anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]"
"470","AGR3","anterior gradient 3, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:24167]"
"471","AGRN","agrin [Source:HGNC Symbol;Acc:HGNC:329]"
"472","AGRP","agouti related neuropeptide [Source:HGNC Symbol;Acc:HGNC:330]"
"473","AGT","angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]"
"474","AGTPBP1","ATP/GTP binding carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:17258]"
"475","AGTR1","angiotensin II receptor type 1 [Source:HGNC Symbol;Acc:HGNC:336]"
"476","AGTR2","angiotensin II receptor type 2 [Source:HGNC Symbol;Acc:HGNC:338]"
"477","AGTRAP","angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539]"
"478","AGXT","alanine--glyoxylate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]"
"479","AGXT2","alanine--glyoxylate aminotransferase 2 [Source:HGNC Symbol;Acc:HGNC:14412]"
"480","AHCTF1","AT-hook containing transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:24618]"
"481","AHCYL1","adenosylhomocysteinase like 1 [Source:HGNC Symbol;Acc:HGNC:344]"
"482","AHCYL2","adenosylhomocysteinase like 2 [Source:HGNC Symbol;Acc:HGNC:22204]"
"483","AHDC1","AT-hook DNA binding motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25230]"
"484","AHI1","Abelson helper integration site 1 [Source:HGNC Symbol;Acc:HGNC:21575]"
"485","AHNAK","AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]"
"486","AHNAK2","AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]"
"487","AHR","aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]"
"488","AHRR","aryl hydrocarbon receptor repressor [Source:HGNC Symbol;Acc:HGNC:346]"
"489","AHSA1","activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]"
"490","AHSG","alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349]"
"491","AHSP","alpha hemoglobin stabilizing protein [Source:HGNC Symbol;Acc:HGNC:18075]"
"492","AICDA","activation induced cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:13203]"
"493","AIDA","axin interactor, dorsalization associated [Source:HGNC Symbol;Acc:HGNC:25761]"
"494","AIF1","allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]"
"495","AIF1L","allograft inflammatory factor 1 like [Source:HGNC Symbol;Acc:HGNC:28904]"
"496","AIFM1","apoptosis inducing factor mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]"
"497","AIFM2","apoptosis inducing factor mitochondria associated 2 [Source:HGNC Symbol;Acc:HGNC:21411]"
"498","AIFM3","apoptosis inducing factor mitochondria associated 3 [Source:HGNC Symbol;Acc:HGNC:26398]"
"499","AIG1","androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:21607]"
"500","AIM2","absent in melanoma 2 [Source:HGNC Symbol;Acc:HGNC:357]"
"501","AIMP1","aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]"
"502","AIMP2","aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]"
"503","AIP","aryl hydrocarbon receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:358]"
"504","AIPL1","aryl hydrocarbon receptor interacting protein like 1 [Source:HGNC Symbol;Acc:HGNC:359]"
"505","AIRE","autoimmune regulator [Source:HGNC Symbol;Acc:HGNC:360]"
"506","AJAP1","adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]"
"507","AJM1","apical junction component 1 homolog [Source:HGNC Symbol;Acc:HGNC:37284]"
"508","AJUBA","ajuba LIM protein [Source:HGNC Symbol;Acc:HGNC:20250]"
"509","AK1","adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]"
"510","AK4","adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]"
"511","AK5","adenylate kinase 5 [Source:HGNC Symbol;Acc:HGNC:365]"
"512","AK7","adenylate kinase 7 [Source:HGNC Symbol;Acc:HGNC:20091]"
"513","AK8","adenylate kinase 8 [Source:HGNC Symbol;Acc:HGNC:26526]"
"514","AK9","adenylate kinase 9 [Source:HGNC Symbol;Acc:HGNC:33814]"
"515","AKAIN1","A-kinase anchor inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28285]"
"516","AKAP1","A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367]"
"517","AKAP10","A-kinase anchoring protein 10 [Source:HGNC Symbol;Acc:HGNC:368]"
"518","AKAP11","A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]"
"519","AKAP12","A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]"
"520","AKAP13","A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]"
"521","AKAP14","A-kinase anchoring protein 14 [Source:HGNC Symbol;Acc:HGNC:24061]"
"522","AKAP17A","A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783]"
"523","AKAP3","A-kinase anchoring protein 3 [Source:HGNC Symbol;Acc:HGNC:373]"
"524","AKAP4","A-kinase anchoring protein 4 [Source:HGNC Symbol;Acc:HGNC:374]"
"525","AKAP5","A-kinase anchoring protein 5 [Source:HGNC Symbol;Acc:HGNC:375]"
"526","AKAP6","A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]"
"527","AKAP7","A-kinase anchoring protein 7 [Source:HGNC Symbol;Acc:HGNC:377]"
"528","AKAP8","A-kinase anchoring protein 8 [Source:HGNC Symbol;Acc:HGNC:378]"
"529","AKAP8L","A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]"
"530","AKAP9","A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]"
"531","AKIP1","A-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1170]"
"532","AKIRIN1","akirin 1 [Source:HGNC Symbol;Acc:HGNC:25744]"
"533","AKIRIN2","akirin 2 [Source:HGNC Symbol;Acc:HGNC:21407]"
"534","AKNA","AT-hook transcription factor [Source:HGNC Symbol;Acc:HGNC:24108]"
"535","AKNAD1","AKNA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28398]"
"536","AKR1A1","aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]"
"537","AKR1B10","aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]"
"538","AKR1B15","aldo-keto reductase family 1 member B15 [Source:HGNC Symbol;Acc:HGNC:37281]"
"539","AKR1C1","aldo-keto reductase family 1 member C1 [Source:HGNC Symbol;Acc:HGNC:384]"
"540","AKR1C2","aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]"
"541","AKR1C3","aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]"
"542","AKR1C4","aldo-keto reductase family 1 member C4 [Source:HGNC Symbol;Acc:HGNC:387]"
"543","AKR1C8P",NA
"544","AKR1D1","aldo-keto reductase family 1 member D1 [Source:HGNC Symbol;Acc:HGNC:388]"
"545","AKR1E2","aldo-keto reductase family 1 member E2 [Source:HGNC Symbol;Acc:HGNC:23437]"
"546","AKR7A3","aldo-keto reductase family 7 member A3 [Source:HGNC Symbol;Acc:HGNC:390]"
"547","AKT1","AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]"
"548","AKT1S1","AKT1 substrate 1 [Source:HGNC Symbol;Acc:HGNC:28426]"
"549","AKT2","AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]"
"550","AKT3","AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]"
"551","AKTIP","AKT interacting protein [Source:HGNC Symbol;Acc:HGNC:16710]"
"552","AL032819.3",NA
"553","AL109810.2",NA
"554","AL121578.2",NA
"555","AL135905.2",NA
"556","AL162231.1",NA
"557","AL162596.1",NA
"558","AL353572.3",NA
"559","AL354761.1",NA
"560","AL391650.1",NA
"561","AL445989.1",NA
"562","AL451007.3",NA
"563","AL590560.2",NA
"564","AL603764.2",NA
"565","AL772284.2",NA
"566","AL845331.2",NA
"567","ALAD","aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]"
"568","ALAS1","5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]"
"569","ALAS2","5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]"
"570","ALB","albumin [Source:HGNC Symbol;Acc:HGNC:399]"
"571","ALCAM","activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]"
"572","ALDH16A1","aldehyde dehydrogenase 16 family member A1 [Source:HGNC Symbol;Acc:HGNC:28114]"
"573","ALDH18A1","aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]"
"574","ALDH1A1","aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]"
